Unnamed: 0,name,address,lat,lon
1,,3115 CEMETERY RD SANFORD NC 27332,35.43909,-79.15066
2,,360 CENTER CHURCH RD SANFORD NC 27332,35.438,-79.22635
3,,305 LEGION DR SANFORD NC 27330,35.46557,-79.20312
4,,1337 BROADWAY RD SANFORD NC 27332,35.46104,-79.11382
5,,2301 TRAMWAY RD SANFORD NC 27332,35.43504,-79.18558
6,,4000 DEEP RIVER RD SANFORD NC 27330,35.59104,-79.14595
7,,1127 GREENWOOD RD SANFORD NC 27332,35.38873,-79.19404
8,,3309 WICKER ST SANFORD NC 27330,35.46525,-79.21573
9,,307 S MAIN ST BROADWAY NC 27505,35.45222,-79.05276
10,,1410 MCNEILL RD SANFORD NC 27330,35.50653,-79.18607
