Unnamed: 0,name,address,lat,lon
1,,300 S MAIN ST ASHEBORO NC 27203,35.70196,-79.81188
2,,2097 N ASHEBORO SCHOOL RD ASHEBORO NC 27203,35.74574,-79.82168
3,,213 BALFOUR DR ARCHDALE NC 27263,35.90077,-79.95813
4,,294 NEWBERN AVE ASHEBORO NC 27203,35.67351,-79.80892
5,,900 SUNSET AVE ASHEBORO NC 27203,35.70756,-79.82784
6,,227 W MAIN ST FRANKLINVILLE NC 27248,35.74395,-79.69524
7,,7546 HARLOW RD ARCHDALE NC 27263,35.88708,-79.86917
8,,8102 NC HWY 22 CLIMAX NC 27233,35.88486,-79.69428
9,,301 S MAIN ST RANDLEMAN NC 27317,35.81457,-79.80249
10,,4528 NC HWY 22 42 RAMSEUR NC 27316,35.64445,-79.61776
11,,7931 US HWY 220 S ASHEBORO NC 27205,35.62005,-79.8256
12,,3557 GRANGE HALL RD ASHEBORO NC 27203,35.64177,-79.97103
13,,6294 WELBORN RD TRINITY NC 27370,35.86274,-80.00858
14,,2497 SOUTHMONT DR ASHEBORO NC 27205,35.64789,-79.84954
15,,2235 SPERO RD RANDLEMAN NC 27317,35.76706,-79.84486
16,,4348 NC HWY 42 S ASHEBORO NC 27205,35.6456,-79.71157
17,,5417 OLD GREENSBORO RD RANDLEMAN NC 27317,35.85848,-79.79089
18,,239 S FAYETTEVILLE ST LIBERTY NC 27298,35.84917,-79.56956
19,,5302 FOUSHEE RD RAMSEUR NC 27316,35.72861,-79.63491
20,,410 W RAILROAD ST STALEY NC 27355,35.79304,-79.55047
21,,4901 TABERNACLE SCHOOL RD ASHEBORO NC 27205,35.73388,-79.96564
22,,3673 HOOVER HILL RD TRINITY NC 27370,35.80523,-79.96368
