provider,lat,lon,num_stops_per_week,score
Piedmont Authority for Regional Transportation,35.67061,-79.83069,13,1
Piedmont Authority for Regional Transportation,35.67401,-79.82741,7,1
Piedmont Authority for Regional Transportation,35.70529,-79.81412,7,1
Piedmont Authority for Regional Transportation,35.71083,-79.8127,7,1
Piedmont Authority for Regional Transportation,35.74609,-79.80758,13,1
Piedmont Authority for Regional Transportation,35.8214,-79.82287,13,1
Piedmont Authority for Regional Transportation,35.71094,-79.81284,6,1
Piedmont Authority for Regional Transportation,35.70529,-79.81427,6,1
Piedmont Authority for Regional Transportation,35.67409,-79.82748,6,1
