Unnamed: 0,name,address,lat,lon
1,,1002 E HOLLY GROVE RD LEXINGTON NC 27292,35.81914,-80.2054
2,,622 HILL EVERHART RD LEXINGTON NC 27295,35.84754,-80.22684
3,,310 BIESECKER RD LEXINGTON NC 27295,35.84556,-80.26704
4,,1600 W CENTER ST EXT LEXINGTON NC 27295,35.85216,-80.27878
5,,1 GRACE WAY DR LEXINGTON NC 27295,35.8163,-80.28827
6,,912 DIXIE ST LEXINGTON NC 27292,35.80261,-80.26119
7,,512 S HARGRAVE ST LEXINGTON NC 27292,35.81603,-80.26571
8,,100 WESTERN BLVD LEXINGTON NC 27295,35.83101,-80.27303
9,,320 S STATE ST LEXINGTON NC 27292,35.82241,-80.25785
10,,200 E CENTER ST LEXINGTON NC 27292,35.82251,-80.25047
11,,200 COUNTRY CLUB BLVD LEXINGTON NC 27292,35.79523,-80.24849
12,,175 WATFORD RD THOMASVILLE NC 27360,35.79836,-80.08728
13,,9795 OLD US HIGHWAY 52 LEXINGTON NC 27295,35.95127,-80.21902
14,,641 CRITCHER DR LEXINGTON NC 27295,35.9285,-80.24167
15,,186 S NC HIGHWAY 150 LEXINGTON NC 27295,35.85019,-80.32736
16,,1374 RUFF LEONARD RD LEXINGTON NC 27295,35.94128,-80.30864
17,,572 BECKS CHURCH RD LEXINGTON NC 27292,35.78768,-80.21866
18,,11450 S NC HIGHWAY 109 LEXINGTON NC 27292,35.72545,-80.0995
19,,22320 S NC HIGHWAY 109 DENTON NC 27239,35.5706,-80.09788
20,,11030 NC HIGHWAY 8 LEXINGTON NC 27292,35.65877,-80.26368
21,,1281 COMMUNITY RD LEXINGTON NC 27295,35.95484,-80.29269
22,,7571 S NC HIGHWAY 150 LEXINGTON NC 27295,35.78501,-80.41605
23,,406 UNITY ST THOMASVILLE NC 27360,35.89958,-80.07743
24,,205 E MAIN ST THOMASVILLE NC 27360,35.88284,-80.07837
25,,115 JAMES AVE THOMASVILLE NC 27360,35.89606,-80.09438
26,,211 W COLONIAL DR THOMASVILLE NC 27360,35.87818,-80.08601
27,,422 LIBERTY DR THOMASVILLE NC 27360,35.87784,-80.06692
28,,4205 OLD HIGHWAY 29 THOMASVILLE NC 27360,35.87847,-80.13669
29,,1275 JOE MOORE RD THOMASVILLE NC 27360,35.93902,-80.07168
30,,1200 W HOLLY HILL RD THOMASVILLE NC 27360,35.85668,-80.10211
31,,213 CEDAR LODGE RD THOMASVILLE NC 27360,35.85024,-80.07817
32,,4484 S NC HIGHWAY 150 LEXINGTON NC 27295,35.80759,-80.37535
33,,287 N LEONARD RD LEXINGTON NC 27295,35.90061,-80.25849
34,,1131 FRIEDBERG CHURCH RD WINSTON-SALEM NC 27127,35.99242,-80.27695
35,,240 SPRING HILL CHURCH RD HIGH POINT NC 27262,35.97117,-80.05404
36,,121 GEORGETOWN RD WINSTON-SALEM NC 27107,36.00757,-80.13418
37,,1001 OLD PLANK RD HIGH POINT NC 27265,35.99503,-80.06128
38,,441 BECKS CHURCH RD LEXINGTON NC 27292,35.78851,-80.21681
39,,3759 NC HIGHWAY 8 LEXINGTON NC 27292,35.76194,-80.26267
40,,97 W NEWSOM AVE DENTON NC 27239,35.63209,-80.11501
41,,14956 S NC HIGHWAY 109 DENTON NC 27239,35.67292,-80.10427
42,,1077 GUMTREE RD WINSTON-SALEM NC 27107,35.98162,-80.21166
43,,18694 NC HIGHWAY 8 DENTON NC 27239,35.61624,-80.17735
